ledger,phase_group,family_id,logical_run_id,scheduler_attempt_count,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,status,paper_role,canonical_run_dir,latest_checkpoint,latest_eval_step,notes,expected_trajectory_points,existing_trajectory_points
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed5:h300000,1,cifar10,strict_pipeline,4,equal,100,300000,5,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed5_300k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed5_300k_20260409_132633/checkpoints/ckpt_step99999.pt,100000,Seed expansion for current pipeline trajectory candidate,60,0
current_cifar_paper,O4,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed1:h500000,1,cifar10,single_strict,1,terminal,100,500000,1,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_fullk_K100_seed1_500k_20260412_143208,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_fullk_K100_seed1_500k_20260412_143208/checkpoints/ckpt_step99999.pt,,Long-horizon baseline,100,0
current_cifar_paper,O3,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed2:h300000,1,cifar10,single_strict,1,terminal,100,300000,2,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_fullk_K100_seed2_300k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_fullk_K100_seed2_300k_20260409_132633/checkpoints/ckpt_step99999.pt,,Seed expansion for single-side baseline reference,60,0
current_cifar_paper,O4,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed1:h500000,1,cifar10,single_emulation,2,deepest,100,500000,1,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_deep_K100_seed1_500k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_deep_K100_seed1_500k_20260409_132633/checkpoints/ckpt_step99999.pt,,Long-horizon single-side endpoint candidate,100,0
current_cifar_paper,O3,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed2:h300000,1,cifar10,single_emulation,2,deepest,100,300000,2,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed2_300k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed2_300k_20260409_132633/checkpoints/ckpt_step99999.pt,,Seed expansion for current single-side endpoint candidate,60,0
current_cifar_paper,O3,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed3:h300000,1,cifar10,single_emulation,2,deepest,100,300000,3,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed3_300k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed3_300k_20260409_132633/checkpoints/ckpt_step99999.pt,,Seed expansion for current single-side endpoint candidate,60,0
current_cifar_paper,O4,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed3:h500000,1,cifar10,single_emulation,2,deepest,100,500000,3,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_deep_K100_seed3_500k_20260412_143208,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_deep_K100_seed3_500k_20260412_143208/checkpoints/ckpt_step99999.pt,,Long-horizon single-side endpoint candidate,100,0
current_cifar_paper,O4,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed1:h500000,1,cifar10,single_emulation,2,equal,100,500000,1,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_uniform_K100_seed1_500k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_uniform_K100_seed1_500k_20260409_132633/checkpoints/ckpt_step99999.pt,,Long-horizon single-side trajectory candidate,100,0
current_cifar_paper,O3,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed2:h300000,1,cifar10,single_emulation,2,equal,100,300000,2,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed2_300k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed2_300k_20260409_132633/checkpoints/ckpt_step99999.pt,,Seed expansion for current single-side trajectory candidate,60,0
current_cifar_paper,O4,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed2:h500000,1,cifar10,single_emulation,2,equal,100,500000,2,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_uniform_K100_seed2_500k_20260412_143208,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_uniform_K100_seed2_500k_20260412_143208/checkpoints/ckpt_step99999.pt,,Long-horizon single-side trajectory candidate,100,0
current_cifar_paper,O3,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed3:h300000,1,cifar10,single_emulation,2,equal,100,300000,3,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed3_300k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed3_300k_20260409_132633/checkpoints/ckpt_step99999.pt,,Seed expansion for current single-side trajectory candidate,60,0
current_cifar_paper,O4,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed3:h500000,1,cifar10,single_emulation,2,equal,100,500000,3,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_uniform_K100_seed3_500k_20260412_143208,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_uniform_K100_seed3_500k_20260412_143208/checkpoints/ckpt_step99999.pt,,Long-horizon single-side trajectory candidate,100,0
