registry_id,source_table,experiment_package,benchmark,conditioned,story_bucket,include_in_current_story,exp_id,group,phase,story,train_mode,execution_semantics,system_role,objective_family,world_size,pipe_stages,seed,K,steps,lr,step_size,weight_mode,last2_beta,num_nodes,ppn,data_dir,run_dir,eval_dir,trajectory_dir,source_status,registry_status,final_fid,best_fid,best_step,final_step,available_points,top1_conditional_acc,per_class_avg_acc,pbs_job_id,local_run,config_signature,config_hash,git_commit_recorded,identity_note
mainline_500k:ddp_fullk_K100_seed2_500k,ablation_500k_summary,mainline_500k,cifar10,no,legacy_long_horizon,context_only,ddp_fullk_K100_seed2_500k,P500K,P500K,500k mainline followup,ddp_fullk,ddp_strict,baseline_control,strict_baseline,4,0,1,100,500000,1e-4,1.0,uniform,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed2_500k_resume_20260401_152616,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed2_500k_resume_20260401_152616/eval,,done,completed,59.83725293609854,,,500000,,,,6983853.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|ddp_fullk|4|0|1|100|500000|1e-4|1.0|uniform|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_long_horizon,bbcd0b861b6d,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
mainline_500k:ddp_fullk_K100_seed3_500k,ablation_500k_summary,mainline_500k,cifar10,no,legacy_long_horizon,context_only,ddp_fullk_K100_seed3_500k,P500K,P500K,500k mainline followup,ddp_fullk,ddp_strict,baseline_control,strict_baseline,4,0,1,100,500000,1e-4,1.0,uniform,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed3_500k_resume_20260401_152616,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed3_500k_resume_20260401_152616/eval,,done,completed,72.55367705300227,,,500000,,,,6983855.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|ddp_fullk|4|0|1|100|500000|1e-4|1.0|uniform|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_long_horizon,bbcd0b861b6d,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
mainline_500k:pipe_strict_P4_K100_beta001_lr1e4_seed1_500k,ablation_500k_summary,mainline_500k,cifar10,no,legacy_long_horizon,context_only,pipe_strict_P4_K100_beta001_lr1e4_seed1_500k,P500K,P500K,500k mainline followup,pipe_strict,strict_pipeline,pipeline_realization,late_stage_weighted,4,4,1,100,500000,1e-4,1.0,last2_beta,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed1_500k_20260331_214126,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed1_500k_20260331_214126/eval,,done,completed,77.79853597494497,,,500000,,,,6982349.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|pipe_strict|4|4|1|100|500000|1e-4|1.0|last2_beta|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_long_horizon,06e2072b2b0a,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
mainline_500k:pipe_strict_P4_K100_beta001_lr1e4_seed2_500k,ablation_500k_summary,mainline_500k,cifar10,no,legacy_long_horizon,context_only,pipe_strict_P4_K100_beta001_lr1e4_seed2_500k,P500K,P500K,500k mainline followup,pipe_strict,strict_pipeline,pipeline_realization,late_stage_weighted,4,4,1,100,500000,1e-4,1.0,last2_beta,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed2_500k_20260331_214126,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed2_500k_20260331_214126/eval,,done,completed,95.48980072832421,,,500000,,,,6982350.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|pipe_strict|4|4|1|100|500000|1e-4|1.0|last2_beta|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_long_horizon,06e2072b2b0a,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
mainline_500k:pipe_strict_P4_K100_beta001_lr1e4_seed3_500k,ablation_500k_summary,mainline_500k,cifar10,no,legacy_long_horizon,context_only,pipe_strict_P4_K100_beta001_lr1e4_seed3_500k,P500K,P500K,500k mainline followup,pipe_strict,strict_pipeline,pipeline_realization,late_stage_weighted,4,4,1,100,500000,1e-4,1.0,last2_beta,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed3_500k_20260331_214126,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed3_500k_20260331_214126/eval,,done,completed,71.08917987364077,,,500000,,,,6982351.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|pipe_strict|4|4|1|100|500000|1e-4|1.0|last2_beta|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_long_horizon,06e2072b2b0a,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
mainline_500k:single_fullk_K100_seed1_500k,ablation_500k_summary,mainline_500k,cifar10,no,legacy_long_horizon,context_only,single_fullk_K100_seed1_500k,P500K,P500K,500k mainline followup,single_fullk,single_strict,baseline_control,strict_baseline,1,1,1,100,500000,1e-4,1.0,uniform,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/single_fullk_K100_seed1_500k_resume_20260401_152616,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/single_fullk_K100_seed1_500k_resume_20260401_152616/eval,,done,completed,56.56082380820368,,,500000,,,,6983861.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|single_fullk|1|1|1|100|500000|1e-4|1.0|uniform|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_long_horizon,b9ccb73ead1d,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A0_ddp_strict_300k_ref,phase1_summary,phase1_screening,cifar10,no,legacy_anchor,context_only,A0_ddp_strict_300k_ref,A0,A0,Q0 baseline alignment,ddp_fullk,ddp_strict,baseline_control,strict_baseline,4,0,1,100,300000,1e-4,1.0,uniform,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322/eval,,reference,completed,66.85674838265982,,,300000,,,,,no,cifar10|no|ddp_fullk|4|0|1|100|300000|1e-4|1.0|uniform|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_anchor,fda98215d9a9,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A0_pipeline_strict_300k_ref,phase1_summary,phase1_screening,cifar10,no,legacy_anchor,context_only,A0_pipeline_strict_300k_ref,A0,A0,Q0 baseline alignment,pipe_strict,strict_pipeline,pipeline_realization,late_stage_weighted,4,4,1,100,300000,1e-4,1.0,last2_beta,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval,,reference,completed,55.994582500105366,,,300000,,,,,no,cifar10|no|pipe_strict|4|4|1|100|300000|1e-4|1.0|last2_beta|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_anchor,cd1091ec11ab,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A0_single_strict_300k_ref,phase1_summary,phase1_screening,cifar10,no,legacy_anchor,context_only,A0_single_strict_300k_ref,A0,A0,Q0 baseline alignment,single_fullk,single_strict,baseline_control,strict_baseline,1,1,1,100,300000,1e-4,1.0,uniform,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,,reference,completed,61.65055605301666,,,300000,,,,,no,cifar10|no|single_fullk|1|1|1|100|300000|1e-4|1.0|uniform|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_anchor,d58d93ea92f8,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A1_single_fullk_k100_s20k,phase1_summary,phase1_screening,cifar10,no,legacy_weighting_screen,context_only,A1_single_fullk_k100_s20k,A1,A1,Q1 weighted_sum factor,single_fullk,single_strict,baseline_control,strict_baseline,1,1,1,100,20000,1e-4,1.0,uniform,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_fullk_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_fullk_k100_s20k_20260329_040631/eval,,done,completed,97.45603569494159,,,20000,,,,6979879.polaris-pbs*,no,cifar10|no|single_fullk|1|1|1|100|20000|1e-4|1.0|uniform|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_weighting_screen,4001d7f397fd,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A1_single_pipe_deep_p4_k100_s20k,phase1_summary,phase1_screening,cifar10,no,legacy_weighting_screen,context_only,A1_single_pipe_deep_p4_k100_s20k,A1,A1,Q1 weighted_sum factor,single_pipe_emul,single_emulation,objective_emulation,deep_only_weighted,1,4,1,100,20000,1e-4,1.0,deep_only,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_deep_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_deep_p4_k100_s20k_20260329_040631/eval,,done,completed,124.03824352769476,,,20000,,,,6979883.polaris-pbs*,no,cifar10|no|single_pipe_emul|1|4|1|100|20000|1e-4|1.0|deep_only|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_weighting_screen,0b3d76c9670f,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A1_single_pipe_last2b001_p4_k100_s20k,phase1_summary,phase1_screening,cifar10,no,legacy_weighting_screen,context_only,A1_single_pipe_last2b001_p4_k100_s20k,A1,A1,Q1 weighted_sum factor,single_pipe_emul,single_emulation,objective_emulation,late_stage_weighted,1,4,1,100,20000,1e-4,1.0,last2_beta,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_last2b001_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_last2b001_p4_k100_s20k_20260329_040631/eval,,done,completed,132.8462200352461,,,20000,,,,6979885.polaris-pbs*,no,cifar10|no|single_pipe_emul|1|4|1|100|20000|1e-4|1.0|last2_beta|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_weighting_screen,b1b42ec35f0a,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A1_single_pipe_uniform_p4_k100_s20k,phase1_summary,phase1_screening,cifar10,no,legacy_weighting_screen,context_only,A1_single_pipe_uniform_p4_k100_s20k,A1,A1,Q1 weighted_sum factor,single_pipe_emul,single_emulation,objective_emulation,uniform_weighted,1,4,1,100,20000,1e-4,1.0,uniform,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_uniform_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_uniform_p4_k100_s20k_20260329_040631/eval,,done,completed,90.51515436229909,,,20000,,,,6979881.polaris-pbs*,no,cifar10|no|single_pipe_emul|1|4|1|100|20000|1e-4|1.0|uniform|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_weighting_screen,c0b14dcbea70,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A2_pipe_last2b001_p2_k100_s20k,phase1_summary,phase1_screening,cifar10,no,legacy_pipeline_factor_screen,context_only,A2_pipe_last2b001_p2_k100_s20k,A2,A2,Q2 pipeline factor,pipe_strict,strict_pipeline,pipeline_realization,late_stage_weighted,2,2,1,100,20000,1e-4,1.0,last2_beta,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p2_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p2_k100_s20k_20260329_145053/eval,,done,completed,114.22240109495755,,,20000,,,,6980024.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|pipe_strict|2|2|1|100|20000|1e-4|1.0|last2_beta|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_pipeline_factor_screen,50b054a9ecb8,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A2_pipe_last2b001_p4_k100_s20k,phase1_summary,phase1_screening,cifar10,no,legacy_pipeline_factor_screen,context_only,A2_pipe_last2b001_p4_k100_s20k,A2,A2,Q2 pipeline factor,pipe_strict,strict_pipeline,pipeline_realization,late_stage_weighted,4,4,1,100,20000,1e-4,1.0,last2_beta,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p4_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p4_k100_s20k_20260329_145053/eval,,done,completed,106.22312384890517,,,20000,,,,6980026.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|pipe_strict|4|4|1|100|20000|1e-4|1.0|last2_beta|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_pipeline_factor_screen,574cacc15f96,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A2_pipe_last2b001_p8_k100_s20k,phase1_summary,phase1_screening,cifar10,no,legacy_pipeline_factor_screen,context_only,A2_pipe_last2b001_p8_k100_s20k,A2,A2,Q2 pipeline factor,pipe_strict,strict_pipeline,pipeline_realization,late_stage_weighted,8,8,1,100,20000,1e-4,1.0,last2_beta,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p8_k100_s20k_20260329_145326,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p8_k100_s20k_20260329_145326/eval,,done,completed,127.71921957988073,,,20000,,,,6980032.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|pipe_strict|8|8|1|100|20000|1e-4|1.0|last2_beta|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_pipeline_factor_screen,4bf9b9091254,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
phase1_screening:A2_pipe_uniform_p2_k100_s20k,phase1_summary,phase1_screening,cifar10,no,legacy_pipeline_factor_screen,context_only,A2_pipe_uniform_p2_k100_s20k,A2,A2,Q2 pipeline factor,pipe_strict,strict_pipeline,pipeline_realization,uniform_weighted,2,2,1,100,20000,1e-4,1.0,uniform,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p2_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p2_k100_s20k_20260329_145053/eval,,done,completed,108.21582029107128,,,20000,,,,6980018.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|pipe_strict|2|2|1|100|20000|1e-4|1.0|uniform|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_pipeline_factor_screen,48071c038795,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
