phase,group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,submit,queue,train_walltime,eval_walltime,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,paired_key,target_role,budget_basis,legacy_context,notes,submitted_at,train_run_dir,eval_run_dir,train_job_id,eval_job_id
O2,O2,O2_pipe_strict_P2_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,2,2,100,300000,1e-4,1.0,uniform,0.01,1,1,2,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_uniform_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_uniform_K100_seed1_300k_20260417_134848/eval,6996774.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O2,O2,O2_pipe_strict_P2_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,2,2,100,300000,1e-4,1.0,deep_only,0.01,1,1,2,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_deep_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_deep_K100_seed1_300k_20260417_134848/eval,6996775.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O2,O2,O2_pipe_strict_P4_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_uniform_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_uniform_K100_seed1_300k_20260417_134848/eval,6996776.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O2,O2,O2_pipe_strict_P4_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,4,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_deep_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_deep_K100_seed1_300k_20260417_134848/eval,6996777.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O2,O2,O2_pipe_strict_P8_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,8,8,100,300000,1e-4,1.0,uniform,0.01,1,2,4,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation,2026-04-24T03:33:25Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_uniform_K100_seed1_300k_resume_20260424_033325,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_uniform_K100_seed1_300k_resume_20260424_033325/eval,7098620.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O2,O2,O2_pipe_strict_P8_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,8,8,100,300000,1e-4,1.0,deep_only,0.01,1,2,4,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation,2026-04-15T15:26:55Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_deep_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_deep_K100_seed1_300k_20260415_152655/eval,7090264.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O2,O2,O2_pipe_strict_P16_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,16,16,100,300000,1e-4,1.0,uniform,0.01,1,4,4,5000,yes,preemptable,36:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation,2026-04-15T15:26:55Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P16_uniform_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P16_uniform_K100_seed1_300k_20260415_152655/eval,7090265.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O2,O2,O2_pipe_strict_P16_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,16,16,100,300000,1e-4,1.0,deep_only,0.01,1,4,4,5000,yes,preemptable,36:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation,2026-04-15T15:26:55Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P16_deep_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P16_deep_K100_seed1_300k_20260415_152655/eval,7090266.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_ddp_fullk_K100_seed2_300k,Objective-first seed expansion for DDP baseline,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,2,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_seed_expansion,no,Expand robustness for new mainline,2026-04-07T17:21:01Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed2_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed2_300k_20260417_134848/eval,7023520.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_ddp_fullk_K100_seed3_300k,Objective-first seed expansion for DDP baseline,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,3,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_seed_expansion,no,Expand robustness for new mainline,2026-04-07T17:21:01Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed3_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed3_300k_20260417_134848/eval,7023521.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_ddp_fullk_K100_seed4_300k,Objective-first seed expansion for DDP baseline,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,4,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_seed_expansion,no,Expand robustness for new mainline,2026-04-07T17:21:01Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed4_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed4_300k_20260417_134848/eval,7023523.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_ddp_fullk_K100_seed5_300k,Objective-first seed expansion for DDP baseline,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,5,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_seed_expansion,no,Expand robustness for new mainline,2026-04-07T17:21:01Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed5_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed5_300k_20260417_134848/eval,7023524.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_pipe_strict_P4_uniform_K100_seed2_300k,Objective-first seed expansion for pipeline uniform candidate,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,2,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_seed_expansion,no,Seed expansion for current pipeline trajectory candidate,2026-04-07T17:21:01Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed2_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed2_300k_20260417_134848/eval,7023525.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_pipe_strict_P4_uniform_K100_seed3_300k,Objective-first seed expansion for pipeline uniform candidate,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,3,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_seed_expansion,no,Seed expansion for current pipeline trajectory candidate,2026-04-07T17:21:01Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed3_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed3_300k_20260417_134848/eval,7023526.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_pipe_strict_P4_uniform_K100_seed4_300k,Objective-first seed expansion for pipeline uniform candidate,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,4,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_seed_expansion,no,Seed expansion for current pipeline trajectory candidate,2026-04-12T14:31:59Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed4_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed4_300k_20260417_134848/eval,7088056.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_pipe_strict_P4_uniform_K100_seed5_300k,Objective-first seed expansion for pipeline uniform candidate,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,5,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_seed_expansion,no,Seed expansion for current pipeline trajectory candidate,2026-04-09T13:26:33Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed5_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed5_300k_20260417_134848/eval,7066250.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_single_pipe_emul_P2_uniform_K100_seed2_300k,Objective-first seed expansion for single-side uniform candidate,single_pipe_emul,1,2,100,300000,1e-4,1.0,uniform,0.01,2,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,objective_emulation,300k_seed_expansion,no,Seed expansion for current single-side trajectory candidate,2026-04-09T13:26:33Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed2_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed2_300k_20260417_134848/eval,7066251.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_single_pipe_emul_P2_uniform_K100_seed3_300k,Objective-first seed expansion for single-side uniform candidate,single_pipe_emul,1,2,100,300000,1e-4,1.0,uniform,0.01,3,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,objective_emulation,300k_seed_expansion,no,Seed expansion for current single-side trajectory candidate,2026-04-09T13:26:33Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed3_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed3_300k_20260417_134848/eval,7066252.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_single_pipe_emul_P2_deep_K100_seed2_300k,Objective-first seed expansion for single-side deep candidate,single_pipe_emul,1,2,100,300000,1e-4,1.0,deep_only,0.01,2,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,objective_emulation,300k_seed_expansion,no,Seed expansion for current single-side endpoint candidate,2026-04-09T13:26:33Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed2_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed2_300k_20260417_134848/eval,7066253.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_single_pipe_emul_P2_deep_K100_seed3_300k,Objective-first seed expansion for single-side deep candidate,single_pipe_emul,1,2,100,300000,1e-4,1.0,deep_only,0.01,3,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,objective_emulation,300k_seed_expansion,no,Seed expansion for current single-side endpoint candidate,2026-04-09T13:26:33Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed3_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed3_300k_20260417_134848/eval,7066254.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_single_fullk_K100_seed2_300k,Objective-first seed expansion for single baseline reference,single_fullk,1,1,100,300000,1e-4,1.0,uniform,0.01,2,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,single_baseline,300k_seed_expansion,no,Seed expansion for single-side baseline reference,2026-04-09T13:26:33Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_fullk_K100_seed2_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_fullk_K100_seed2_300k_20260417_134848/eval,7066255.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
